"tag","class","text_preview","href"
"div","js-ship-calculator-error js-ship-calculator-external-error alert alert-danger mb-0","El calculo falló por un problema con el medio de envío. Por favor intentá de nuevo en unos segundos.",""
"div","js-shipping-calculator-spinner pb-4","",""
"div","d-grid grid-1-auto mb-4","",""
"div","mr-5 pr-5","",""
"div","placeholder placeholder-line placeholder-shine position-relative mb-3","",""
"div","placeholder placeholder-line placeholder-shine position-relative w-50","",""
"div","","",""
"div","placeholder placeholder-line placeholder-shipping-price placeholder-shine position-relative","",""
"div","d-grid grid-1-auto","",""
"div","mr-5 pr-5","",""
"div","placeholder placeholder-line placeholder-shine position-relative mb-3","",""
"div","placeholder placeholder-line placeholder-shine position-relative w-50","",""
"div","","",""
"div","placeholder placeholder-line placeholder-shipping-price placeholder-shine position-relative","",""
"div","js-shipping-calculator-response mb-4 pb-1 transition-soft  radio-buttons-group","",""
"div","js-cart-total-container js-visible-on-cart-filled","Total:
      
        $0,00
          
        
            
        
            
    
            ",""
"div","d-grid grid-1-auto mb-3 font-huge","Total:
      
        $0,00
          
        
            
        
            
    
            ",""
"span","","Total:",""
"span","text-right","$0,00
          
        
            
        
            
    
                    O
            ",""
"div","js-cart-total  ","$0,00",""
"div","js-payment-discount-price-cart-container payment-discount-price-cart-container text-accent font-small font-weight-normal mt-1 text-right","O
                
            $0,00
        
        con",""
"span","","O",""
"span","js-payment-discount-price-cart payment-discount-price-cart ","$0,00",""
"span","","con",""
"span","js-payment-discount-name-cart ","",""
"div","js-ajax-cart-submit","",""
"div","text-center","Ver más productos",""
"div","notification p-0 mb-3","()
						
					
					
						
							
							 x",""
"div","js-cart-notification-item-private notification-cart-item d-grid grid-auto-1","()
						
					
					
						
							
							 x",""
"div","notification-cart-image-container mr-3","",""
"img","js-cart-notification-item-image-private notification-cart-image img-absolute-centered-vertically","",""
"div","notification-info-container font-medium font-md-small","()
						
					
					
						
							
							 x",""
"div","mb-1","()",""
"span","js-cart-notification-item-name-private","",""
"span","js-cart-notification-item-variant-container-private ","()",""
"span","js-cart-notification-item-variant-private","",""
"div","mb-1","x",""
"span","","x",""
"span","js-cart-notification-item-quantity-private","",""
"span","","x",""
"span","js-cart-notification-item-price-private ","",""
"div","d-grid grid-1-auto mb-2 pb-1","Total 
						(
							0 
						
						
							productos
						
						
							producto
						)
					
",""
"span","pr-3","Total 
						(
							0 
						
						
							productos
						
						
							producto
						)",""
"span","","Total",""
"span","js-cart-widget-amount","0",""
"span","js-cart-counts-plural-private","productos",""
"span","js-cart-counts-singular-private","producto",""
"span","js-cart-total-private js-cart-widget-total","$0,00",""
"div","js-related-products-notification-container","",""
"div","modal-header p-quarter full-width","¡Descuento exclusivo!",""
"span","modal-title ","¡Descuento exclusivo!",""
"div","modal-body ","",""
"div","js-cross-selling-modal-body","",""
"span","separator",">",""
"span","crumb active","Perifericos para PC",""
"div","grid grid-1-auto align-items-end","Perifericos para PC
													
								626 productos",""
"h1","h4 mb-0","Perifericos para PC",""
"div","d-md-none text-right font-small mb-1","626 productos",""
"p","font-small mt-1 mb-0","Encontrá periféricos para mejorar tu setup: teclados, mouse, auriculares y más. Equipate con calidad",""
"div","form-select-icon ","",""
"div","font-smallest font-weight-bold","Más vendidos",""
"div","js-category-controls-prev category-controls-sticky-detector","",""
"div","my-1","",""
"li","mb-2","Auriculares",""
"a","font-small","Auriculares",""
"li","mb-2","Camaras Web",""
"a","font-small","Camaras Web",""
"li","mb-2","CD/DVD Externos",""
"a","font-small","CD/DVD Externos",""
"li","mb-2","Joystick",""
"a","font-small","Joystick",""
"li","mb-2","Laminadora",""
"a","font-small","Laminadora",""
"li","mb-2","Microfonos",""
"a","font-small","Microfonos",""
"li","mb-2","Mouse",""
"a","font-small","Mouse",""
"li","mb-2","Mouse Pad",""
"a","font-small","Mouse Pad",""
"li","mb-2","Parlantes",""
"a","font-small","Parlantes",""
"li","mb-2","Punteros",""
"a","font-small","Punteros",""
"li","mb-2","Streaming y Videos capturadoras Gaming",""
"a","font-small","Streaming y Videos capturadoras Gaming",""
"li","mb-2","Scanner",""
"a","font-small","Scanner",""
"li","mb-2","Teclados para Pc",""
"a","font-small","Teclados para Pc",""
"li","mb-2","Volantes",""
"a","font-small","Volantes",""
"li","mb-2","MicroSD & Memorias Flash",""
"a","font-small","MicroSD & Memorias Flash",""
"li","mb-2","Pen drive",""
"a","font-small","Pen drive",""
"div","my-1 pr-3 d-flex align-items-center","Marca",""
"div","mb-0","Marca",""
"div","my-1","",""
"span"," checkbox ","Adata (6)",""
"span"," checkbox-icon","",""
"span"," checkbox-text","Adata (6)",""
"span"," checkbox ","Asus (7)",""
"span"," checkbox-icon","",""
"span"," checkbox-text","Asus (7)",""
"span"," checkbox ","Aureox (8)",""
"span"," checkbox-icon","",""
"span"," checkbox-text","Aureox (8)",""
"span"," checkbox ","Brother (1)",""
"span"," checkbox-icon","",""
"span"," checkbox-text","Brother (1)",""
"span"," checkbox ","Consumo Electronica (6)",""
"span"," checkbox-icon","",""
"span"," checkbox-text","Consumo Electronica (6)",""
"span"," checkbox ","Cooler Master (4)",""
"span"," checkbox-icon","",""
"span"," checkbox-text","Cooler Master (4)",""
"span"," checkbox ","Corsair (20)",""
"span"," checkbox-icon","",""
"span"," checkbox-text","Corsair (20)",""
"span"," checkbox ","Ducky (1)",""
"span"," checkbox-icon","",""
"span"," checkbox-text","Ducky (1)",""
"span"," checkbox ","Elgato (1)",""
"span"," checkbox-icon","",""
"span"," checkbox-text","Elgato (1)",""
"span"," checkbox ","Evga (6)",""
"span"," checkbox-icon","",""
"span"," checkbox-text","Evga (6)",""
"span"," checkbox ","Fenda (13)",""
"span"," checkbox-icon","",""
"span"," checkbox-text","Fenda (13)",""
"span"," checkbox ","Genius (73)",""
"span"," checkbox-icon","",""
